Date,Price,Volume,CirSupply,Velocity,Valuation
2019-04-30,3.94,13686531,190546613,0.07,0.02
2019-05-01,4.39,20621546,190693816,0.11,0.05
2019-05-02,4.59,18257924,190881932,0.10,0.04
2019-05-03,5.31,30479748,190718793,0.16,0.14
2019-05-04,5.26,31346671,190688146,0.16,0.14
2019-05-05,4.85,14080890,190834126,0.07,0.03
2019-05-06,4.73,13325643,190502284,0.07,0.02
2019-05-07,4.61,12632484,190834281,0.07,0.02
2019-05-08,4.35,13980809,190900551,0.07,0.02
2019-05-09,3.90,19576193,190512784,0.10,0.04
2019-05-10,3.83,13996506,190833533,0.07,0.02
2019-05-11,4.02,18124362,190583129,0.10,0.04
2019-05-12,3.77,12175469,190840142,0.06,0.02
2019-05-13,3.94,16025069,190539516,0.08,0.03
2019-05-14,4.00,17006193,190604029,0.09,0.03
2019-05-15,4.53,17970719,190649221,0.09,0.04
2019-05-16,4.28,17893297,190602870,0.09,0.04
2019-05-17,4.40,26752033,190533883,0.14,0.09
2019-05-18,4.71,15326341,190838389,0.08,0.03
2019-05-19,4.89,16775860,190854807,0.09,0.04
2019-05-20,4.72,14718985,190878590,0.08,0.03
2019-05-21,4.78,11983454,190511255,0.06,0.02
2019-05-22,4.36,12254100,190649082,0.06,0.02
2019-05-23,4.34,11552779,190468806,0.06,0.02
2019-05-24,4.47,18451452,190814401,0.10,0.04
2019-05-25,4.42,9817238,190891231,0.05,0.01
2019-05-26,4.51,10942269,190628579,0.06,0.01
2019-05-27,4.67,16266080,190682115,0.09,0.03
2019-05-28,4.76,11857472,190770170,0.06,0.02
2019-05-29,4.69,11183501,190658478,0.06,0.02
2019-05-30,5.94,45938770,190687365,0.24,0.34
2019-05-31,5.81,23534709,190787983,0.12,0.09
2019-06-01,5.78,21655320,190690072,0.11,0.07
2019-06-02,6.36,13320317,190607550,0.07,0.03
2019-06-03,6.61,32107356,190754129,0.17,0.19
2019-06-04,5.92,21912110,190668167,0.11,0.08
