Date,Price,Volume,CirSupply,Velocity,Valuation
2020-09-24,4.57,21046683,24500000,0.86,3.37
2020-09-25,4.71,11852948,24500001,0.48,1.10
2020-09-26,4.54,6015212,24499998,0.25,0.27
2020-09-27,4.63,5024973,24499998,0.21,0.19
2020-09-28,4.20,4904941,24500001,0.20,0.17
2020-09-29,4.14,4032613,24499999,0.16,0.11
2020-09-30,4.32,3917339,24500001,0.16,0.11
2020-10-01,4.15,5758295,24500001,0.24,0.23
2020-10-02,3.93,7758135,24500003,0.32,0.39
2020-10-03,4.02,2975735,24499997,0.12,0.06
2020-10-04,3.96,3269178,24499998,0.13,0.07
2020-10-05,3.98,2257417,24499999,0.09,0.03
2020-10-06,3.54,4253944,24499999,0.17,0.11
2020-10-07,3.45,4547547,24500002,0.19,0.12
2020-10-08,3.90,3897124,24500000,0.16,0.10
2020-10-09,4.24,3079677,24499999,0.13,0.07
2020-10-10,4.03,3610821,24499997,0.15,0.09
2020-10-11,4.10,2796685,24500002,0.11,0.05
2020-10-12,4.42,3271351,24499999,0.13,0.08
2020-10-13,4.49,3130621,24499999,0.13,0.07
2020-10-14,4.15,2410686,24499999,0.10,0.04
2020-10-15,4.13,1695753,24500000,0.07,0.02
2020-10-16,4.04,2423130,24500001,0.10,0.04
2020-10-17,4.20,1457031,24499998,0.06,0.01
2020-10-18,4.12,903177,24499998,0.04,0.01
2020-10-19,4.05,1443937,24500003,0.06,0.01
2020-10-20,3.80,5167130,24500003,0.21,0.17
2020-10-21,3.97,5919330,24499998,0.24,0.23
2020-10-22,4.31,5604080,24499999,0.23,0.23
2020-10-23,4.26,4570997,24499999,0.19,0.15
2020-10-24,4.19,3981439,24499997,0.16,0.11
2020-10-25,4.15,3736372,24500001,0.15,0.10
2020-10-26,4.16,2221537,24500000,0.09,0.03
2020-10-27,4.12,4269734,24500000,0.17,0.13
2020-10-28,4.07,4779222,24500002,0.20,0.15
2020-10-29,3.78,1729091,24500000,0.07,0.02
2020-10-30,3.71,7654112,24499997,0.31,0.36
2020-10-31,3.65,5605941,24500001,0.23,0.19
2020-11-01,3.68,4331994,24499997,0.18,0.12
2020-11-02,3.62,5529847,24500000,0.23,0.18
2020-11-03,3.33,7373225,24500000,0.30,0.30
2020-11-04,3.18,6503047,24500000,0.27,0.22
2020-11-05,3.36,7782656,24499998,0.32,0.34
2020-11-06,3.60,9442105,24500002,0.39,0.53
2020-11-07,3.40,10181913,24500002,0.42,0.59
2020-11-08,3.48,7499556,24499999,0.31,0.33
2020-11-09,3.42,7465158,24500000,0.30,0.32
2020-11-10,3.59,6780699,24500002,0.28,0.27
2020-11-11,3.48,7096762,24499999,0.29,0.29
2020-11-12,3.43,7316894,24500002,0.30,0.31
2020-11-13,3.70,7459632,24499999,0.30,0.34
2020-11-14,3.50,6958918,24500002,0.28,0.28
2020-11-15,3.54,6419368,24500001,0.26,0.24
2020-11-16,3.72,7364732,24500002,0.30,0.34
2020-11-17,3.83,6010718,24500002,0.25,0.23
2020-11-18,3.75,5553593,24500000,0.23,0.19
2020-11-19,3.63,5924818,24500003,0.24,0.21
2020-11-20,3.71,7388821,24499999,0.30,0.34
2020-11-21,4.00,6493058,24500001,0.27,0.28
2020-11-22,3.89,6674349,24499999,0.27,0.29
2020-11-23,4.07,2215553,24500002,0.09,0.03
2020-11-24,4.27,7199983,24499999,0.29,0.37
2020-11-25,4.05,7039368,24500000,0.29,0.33
2020-11-26,3.53,10037177,24500003,0.41,0.59
2020-11-27,3.59,1676936,24500002,0.07,0.02
2020-11-28,3.62,4830799,24500000,0.20,0.14
2020-11-29,3.70,1053157,24499997,0.04,0.01
2020-11-30,3.69,5820623,24500000,0.24,0.21
2020-12-01,3.58,6906130,24500003,0.28,0.28
2020-12-02,3.73,1362894,24500001,0.06,0.01
2020-12-03,3.82,5504617,24499998,0.22,0.19
2020-12-04,3.55,6689368,24500000,0.27,0.26
2020-12-05,3.62,5868404,24500001,0.24,0.21
2020-12-06,3.60,5618558,24499999,0.23,0.19
2020-12-07,3.39,4984886,24499998,0.20,0.14
2020-12-08,3.11,7398236,24500003,0.30,0.28
2020-12-09,3.26,8762510,76937046,0.11,0.04
2020-12-10,3.15,9278697,76937062,0.12,0.05
2020-12-11,3.24,9031592,76937065,0.12,0.04
2020-12-12,3.33,7387078,76937045,0.10,0.03
2020-12-13,3.33,6220925,76937049,0.08,0.02
2020-12-14,3.14,8675075,76937045,0.11,0.04
2020-12-15,3.30,5551778,76937061,0.07,0.02
