Date,Price,Volume,CirSupply,Velocity,Valuation
2020-09-02,6.14,95139255,852573444,0.11,0.08
2020-09-03,5.75,132811036,852331522,0.16,0.14
2020-09-04,5.15,164230639,851991728,0.19,0.19
2020-09-05,4.12,195582618,853126305,0.23,0.22
2020-09-06,4.80,192533434,852553193,0.23,0.24
2020-09-07,4.59,147140563,853514962,0.17,0.14
2020-09-08,4.27,121648779,853511226,0.14,0.09
2020-09-09,4.71,113396411,852455624,0.13,0.08
2020-09-10,4.58,138335737,852942655,0.16,0.12
2020-09-11,4.65,136230568,851834779,0.16,0.12
2020-09-12,5.14,146643139,852156177,0.17,0.15
2020-09-13,5.30,207448248,852318051,0.24,0.31
2020-09-14,5.35,188459759,852442003,0.22,0.26
2020-09-15,5.10,176051840,851929792,0.21,0.22
2020-09-16,5.08,155976481,852701768,0.18,0.17
2020-09-17,5.34,145383963,852057097,0.17,0.16
2020-09-18,5.25,130171082,851959666,0.15,0.12
2020-09-19,4.93,122772422,851853974,0.14,0.10
2020-09-20,4.67,170986700,853094846,0.20,0.19
2020-09-21,4.09,268150772,853606131,0.31,0.40
2020-09-22,4.17,161419027,853560272,0.19,0.15
2020-09-23,4.03,138228974,852947118,0.16,0.11
2020-09-24,4.38,99902613,853031796,0.12,0.06
2020-09-25,4.42,96197086,852831826,0.11,0.06
2020-09-26,4.35,75803489,852189369,0.09,0.03
2020-09-27,4.31,73401839,852703344,0.09,0.03
2020-09-28,4.40,123524422,852233118,0.14,0.09
2020-09-29,4.50,113103540,852733371,0.13,0.08
2020-09-30,4.35,86999223,852604692,0.10,0.05
2020-10-01,4.34,102567675,853400435,0.12,0.06
2020-10-02,4.12,134688422,853305666,0.16,0.10
2020-10-03,4.07,88934831,852657441,0.10,0.04
2020-10-04,4.17,68670736,853447447,0.08,0.03
2020-10-05,4.17,79679776,853199736,0.09,0.04
2020-10-06,3.76,176135827,851777308,0.21,0.16
2020-10-07,3.86,162969807,852382097,0.19,0.14
2020-10-08,4.10,149810515,853197214,0.18,0.13
2020-10-09,4.26,115377132,853141601,0.14,0.08
2020-10-10,4.25,115773684,853240603,0.14,0.08
2020-10-11,4.26,91103041,853080466,0.11,0.05
2020-10-12,4.32,113335308,852637438,0.13,0.08
2020-10-13,4.25,98978811,852527360,0.12,0.06
2020-10-14,4.20,123856814,852467915,0.15,0.09
2020-10-15,4.10,109908070,851984487,0.13,0.07
2020-10-16,3.91,113374812,852545090,0.13,0.07
2020-10-17,3.97,52003460,852057547,0.06,0.01
2020-10-18,4.10,49782512,853614920,0.06,0.01
2020-10-19,3.99,62652563,852774292,0.07,0.02
2020-10-20,3.91,128566418,852722582,0.15,0.09
2020-10-21,4.14,110632465,852878315,0.13,0.07
2020-10-22,4.27,86020896,852437965,0.10,0.04
2020-10-23,4.27,108153796,852018643,0.13,0.07
2020-10-24,4.36,71171228,851737165,0.08,0.03
2020-10-25,4.34,78135147,851710699,0.09,0.04
2020-10-26,4.73,152852180,852109841,0.18,0.15
2020-10-27,4.68,175299553,853367709,0.21,0.20
2020-10-28,4.37,148734951,851691001,0.17,0.13
2020-10-29,4.05,169530205,853351880,0.20,0.16
2020-10-30,4.09,143417468,852254344,0.17,0.12
2020-10-31,4.18,76238975,853008245,0.09,0.03
2020-11-01,4.23,71598374,851763800,0.08,0.03
2020-11-02,4.03,124931525,852696684,0.15,0.09
2020-11-03,4.03,102598293,851688948,0.12,0.06
2020-11-04,4.10,204033237,852249110,0.24,0.23
2020-11-05,4.24,88505964,851681408,0.10,0.05
2020-11-06,4.58,101135580,852582902,0.12,0.06
2020-11-07,4.24,170945558,853041757,0.20,0.17
2020-11-08,4.37,90138213,853056104,0.11,0.05
2020-11-09,4.35,91242133,852014055,0.11,0.05
2020-11-10,4.42,85819600,851686331,0.10,0.04
2020-11-11,4.46,90698182,876779478,0.10,0.05
2020-11-12,4.40,83445888,877348074,0.10,0.04
2020-11-13,4.54,75444736,877815233,0.09,0.03
2020-11-14,4.47,74127657,877271215,0.08,0.03
2020-11-15,4.38,74301155,878315349,0.08,0.03
2020-11-16,4.49,99258942,877785544,0.11,0.06
2020-11-17,4.84,139477262,879705410,0.16,0.12
2020-11-18,4.68,143472685,879000621,0.16,0.12
2020-11-19,4.76,115884033,878719881,0.13,0.08
2020-11-20,5.23,196515542,880053978,0.22,0.26
2020-11-21,5.75,177869727,880097710,0.20,0.23
2020-11-22,5.48,191357662,880626667,0.22,0.26
