Date,Price,Volume,CirSupply,Velocity,Valuation
2019-10-15,0.596600000,2180551,285472558,0.007638393,0.000034809
2019-10-16,0.552300000,1752937,285463190,0.006140675,0.000020826
2019-10-17,0.561000000,1933936,285475330,0.006774441,0.000025746
2019-10-18,0.534000000,1735998,285432882,0.006081984,0.000019753
2019-10-19,0.531600000,1156206,285457265,0.004050364,0.000008721
2019-10-20,0.531100000,1105892,285456291,0.003874119,0.000007971
2019-10-21,0.499000000,2578601,285439922,0.009033779,0.000040723
2019-10-22,0.493500000,1049181,285457832,0.003675434,0.000006667
2019-10-23,0.479100000,2088506,287747858,0.007258110,0.000025239
2019-10-24,0.473400000,1439985,287765993,0.005004015,0.000011854
2019-10-25,0.501000000,1778577,287747319,0.006181037,0.000019141
2019-10-26,0.489200000,1262146,287760715,0.004386097,0.000009411
2019-10-27,0.485800000,1174796,287787569,0.004082165,0.000008095
2019-10-28,0.459500000,1036139,287751356,0.003600815,0.000005958
2019-10-29,0.474700000,1079676,287776564,0.003751784,0.000006682
2019-10-30,0.460300000,1124773,287752309,0.003908823,0.000007033
2019-10-31,0.467100000,697504,287758313,0.002423922,0.000002744
2019-11-01,0.452300000,1290623,287772335,0.004484877,0.000009098
2019-11-02,0.461500000,902867,287751866,0.003137657,0.000004543
2019-11-03,0.465500000,699313,287736339,0.002430394,0.000002750
2019-11-04,0.454500000,1291358,287779696,0.004487313,0.000009152
2019-11-05,0.460200000,1006160,287771495,0.003496386,0.000005626
2019-11-06,0.458000000,2334207,287776616,0.008111178,0.000030132
2019-11-07,0.446400000,2369543,287759091,0.008234468,0.000030269
2019-11-08,0.421300000,3522143,287795025,0.012238375,0.000063101
2019-11-09,0.411400000,3242589,287786930,0.011267324,0.000052228
2019-11-10,0.403800000,2508546,287772732,0.008717109,0.000030684
2019-11-11,0.381600000,2912151,287732592,0.010121034,0.000039089
2019-11-12,0.383100000,1599734,287781825,0.005558842,0.000011838
2019-11-13,0.377500000,4254003,287728143,0.014784799,0.000082518
2019-11-14,0.371600000,5556437,287785923,0.019307536,0.000138525
2019-11-15,0.376500000,2390042,287797766,0.008304590,0.000025966
2019-11-16,0.380300000,1453460,287740728,0.005051285,0.000009704
2019-11-17,0.377300000,3796210,287753713,0.013192566,0.000065667
2019-11-18,0.352300000,2447071,287748024,0.008504214,0.000025479
2019-11-19,0.323400000,2448571,287808466,0.008507642,0.000023408
2019-11-20,0.329500000,1546992,287767181,0.005375847,0.000009522
2019-11-21,0.296200000,3206151,287731560,0.011142856,0.000036777
2019-11-22,0.254200000,4081456,287808891,0.014181131,0.000051121
2019-11-23,0.269700000,2934372,287739359,0.010198019,0.000028049
2019-11-24,0.258500000,2914607,287799718,0.010127207,0.000026512
2019-11-25,0.240900000,2270876,287747613,0.007891902,0.000015004
2019-11-26,0.230500000,2483210,287774078,0.008629027,0.000017163
2019-11-27,0.218700000,1763763,287716772,0.006130206,0.000008219
2019-11-28,0.258000000,5511267,287807240,0.019149162,0.000094606
2019-11-29,0.286300000,3607094,287720517,0.012536798,0.000044998
2019-11-30,0.283600000,2190074,287766865,0.007610585,0.000016426
2019-12-01,0.282400000,2381735,287754653,0.008276965,0.000019347
2019-12-02,0.262800000,2733710,287766918,0.009499737,0.000023716
2019-12-03,0.259800000,2384962,287776597,0.008287545,0.000017844
2019-12-04,0.252100000,1688727,287752479,0.005868678,0.000008683
2019-12-05,0.250900000,2268454,287754938,0.007883283,0.000015592
2019-12-06,0.265400000,2230610,287750286,0.007751896,0.000015948
2019-12-07,0.270900000,1015386,287716368,0.003529121,0.000003374
2019-12-08,0.267200000,2083398,287775348,0.007239669,0.000014005
2019-12-09,0.262900000,1902339,287716748,0.006611848,0.000011493
2019-12-10,0.255200000,1363852,287720584,0.004740196,0.000005734
2019-12-11,0.262300000,1418323,287718018,0.004929558,0.000006374
2019-12-12,0.265700000,1070030,287741998,0.003718714,0.000003674
2019-12-13,0.271100000,2046352,287715223,0.007112421,0.000013714
2019-12-14,0.265700000,1433519,287737505,0.004982037,0.000006595
2019-12-15,0.265400000,933410,287817743,0.003243059,0.000002791
2019-12-16,0.247400000,1077235,287718783,0.003744056,0.000003468
2019-12-17,0.222200000,767475,287715000,0.002667484,0.000001581
2019-12-18,0.214400000,2007682,287738055,0.006977464,0.000010438
2019-12-19,0.218900000,4053120,287797469,0.014083238,0.000043416
2019-12-20,0.244000000,4644529,287757844,0.016140407,0.000063565
2019-12-21,0.258600000,4900282,287821373,0.017025429,0.000074959
2019-12-22,0.266100000,4374363,287792304,0.015199722,0.000061477
2019-12-23,0.280700000,3008333,287745312,0.010454845,0.000030682
2019-12-24,0.320800000,4545854,287757113,0.015797539,0.000080060
2019-12-25,0.343300000,4666746,287798963,0.016215299,0.000090266
2019-12-26,0.352500000,4443991,287734216,0.015444779,0.000084086
2019-12-27,0.310700000,7417303,287772790,0.025774858,0.000206411
2019-12-28,0.287100000,1314995,287785900,0.004569351,0.000005994
2019-12-29,0.310100000,1955627,287764728,0.006795924,0.000014322
2019-12-30,0.288600000,227575648,287762342,0.790845828,0.180501154
2019-12-31,0.258800000,16878311,287765158,0.058653075,0.000890319
2020-01-01,0.231000000,21374017,287789372,0.074269655,0.001274192
2020-01-02,0.211500000,18065225,287756369,0.062779582,0.000833580
2020-01-03,0.220500000,17736222,287762571,0.061634917,0.000837649
2020-01-04,0.242300000,10684036,287807540,0.037122156,0.000333903
2020-01-05,0.240100000,6013369,287718492,0.020900184,0.000104880
2020-01-06,0.225900000,16349748,287778756,0.056813602,0.000729157
2020-01-07,0.218200000,14163148,287829771,0.049206684,0.000528327
2020-01-08,0.203500000,14706821,287802344,0.051100420,0.000531390
2020-01-09,0.206800000,20613370,287728752,0.071641677,0.001061407
2020-01-10,0.204600000,20805249,287712566,0.072312619,0.001069877
2020-01-11,0.204500000,12906308,287780445,0.044847759,0.000411315
2020-01-12,0.211700000,8483543,287762811,0.029481025,0.000183995
2020-01-13,0.201200000,21815900,287736223,0.075819094,0.001156605
2020-01-14,0.195100000,24388754,287821394,0.084735725,0.001400846
2020-01-15,0.195800000,22968299,287717508,0.079829342,0.001247779
2020-01-16,0.204200000,17222586,287831582,0.059835636,0.000731098
2020-01-17,0.206200000,17949864,287717323,0.062387151,0.000802563
2020-01-18,0.203300000,15431953,287722450,0.053634858,0.000584833
2020-01-19,0.202700000,27220602,287741761,0.094600804,0.001814026
2020-01-20,0.200200000,20457488,287707507,0.071105157,0.001012200
2020-01-21,0.196300000,18749506,287693423,0.065171826,0.000833758
2020-01-22,0.192300000,16833333,287827176,0.058484169,0.000657743
2020-01-23,0.185700000,12778293,287803080,0.044399431,0.000366072
2020-01-24,0.186200000,12985779,287823776,0.045117116,0.000379020
2020-01-25,0.185400000,12165491,287817605,0.042268057,0.000331234
2020-01-26,0.186300000,12859823,287760811,0.044689278,0.000372066
2020-01-27,0.186000000,13326376,287760215,0.046310698,0.000398911
